name,slug,price,old_price,description,stock,image,created_at,updated_at,sub_category_id
Shirt 1,shirt-1,2361,2780,High quality shirt for daily use.,39,images/shirt-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 2,shirt-2,1951,2522,High quality shirt for daily use.,88,images/shirt-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 3,shirt-3,4792,5562,High quality shirt for daily use.,36,images/shirt-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 4,shirt-4,2825,3051,High quality shirt for daily use.,58,images/shirt-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 5,shirt-5,4079,4531,High quality shirt for daily use.,14,images/shirt-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 6,shirt-6,1986,2485,High quality shirt for daily use.,16,images/shirt-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 7,shirt-7,1070,1655,High quality shirt for daily use.,85,images/shirt-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 8,shirt-8,4404,4936,High quality shirt for daily use.,15,images/shirt-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 9,shirt-9,3718,4454,High quality shirt for daily use.,27,images/shirt-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 10,shirt-10,4057,4521,High quality shirt for daily use.,77,images/shirt-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 1,jeans-1,3051,3752,High quality jeans for daily use.,95,images/jeans-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 2,jeans-2,1668,2076,High quality jeans for daily use.,90,images/jeans-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 3,jeans-3,3873,4392,High quality jeans for daily use.,72,images/jeans-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 4,jeans-4,2457,2969,High quality jeans for daily use.,58,images/jeans-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 5,jeans-5,2466,3121,High quality jeans for daily use.,70,images/jeans-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 6,jeans-6,2519,3072,High quality jeans for daily use.,57,images/jeans-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 7,jeans-7,4939,5695,High quality jeans for daily use.,82,images/jeans-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 8,jeans-8,1084,1841,High quality jeans for daily use.,46,images/jeans-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 9,jeans-9,3132,3545,High quality jeans for daily use.,41,images/jeans-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 10,jeans-10,3964,4340,High quality jeans for daily use.,45,images/jeans-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 1,suit-1,4522,5077,High quality suit for daily use.,58,images/suit-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 2,suit-2,1002,1600,High quality suit for daily use.,72,images/suit-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 3,suit-3,3634,4100,High quality suit for daily use.,43,images/suit-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 4,suit-4,2155,2623,High quality suit for daily use.,90,images/suit-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 5,suit-5,1598,2256,High quality suit for daily use.,50,images/suit-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 6,suit-6,4917,5711,High quality suit for daily use.,51,images/suit-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
